"year","y","age","educ","female","yl1","yl2","yp1","dy","dy_pre","dy_post","va","va_previous","dva","year_previous"
2008,1.3754,34,9,0,2.198488,2.206507,1.39062,-0.823088,-0.008019,0.01522,3.171107,4.353082,-1.181975,2007
2008,1.043266,35,6,1,1.042253,1.071069,1.059997,0.00101299999999993,-0.028816,0.0167310000000001,2.708885,3.474275,-0.76539,2007
2007,1.280056,35,9,1,1.145468,1.177938,1.38262,0.134588,-0.03247,0.102564,3.302558,3.273397,0.0291609999999998,2006
2008,1.320286,37,6,0,1.183277,1.207976,1.314407,0.137009,-0.024699,-0.00587899999999997,3.709561,3.632787,0.0767739999999999,2007
2008,1.864247,37,16,0,1.675828,1.906749,1.901574,0.188419,-0.230921,0.0373270000000001,3.512414,4.106783,-0.594369,2007
2008,0.978593,37,4,1,1.266226,1.282599,1.015921,-0.287633,-0.016373,0.037328,2.636309,2.774053,-0.137744,2007
2008,1.512607,34,6,1,1.499979,1.541072,1.504077,0.0126280000000001,-0.041093,-0.00852999999999993,2.734705,2.772966,-0.0382609999999999,2007
2007,1.527971,39,6,1,1.509074,1.625715,1.501115,0.0188969999999999,-0.116641,-0.026856,3.09458,3.098244,-0.00366400000000011,2006
2008,1.446709,34,9,0,1.517171,1.4257,1.46771,-0.070462,0.0914710000000001,0.021001,2.846591,3.01168,-0.165089,2007
2007,1.556769,33,9,1,1.4852,1.459804,1.64044,0.071569,0.025396,0.0836709999999998,3.192536,3.09458,0.0979559999999999,2006
2007,1.29564,31,9,1,1.662089,1.403572,1.395487,-0.366449,0.258517,0.099847,3.17411,3.01168,0.16243,2006
2007,1.420936,37,12,1,1.505266,1.482697,1.410442,-0.08433,0.0225690000000001,-0.010494,3.09458,3.098244,-0.00366400000000011,2006
2008,1.62124,31,12,1,1.682945,1.692924,1.645046,-0.0617049999999999,-0.00997900000000018,0.023806,2.734705,2.772966,-0.0382609999999999,2007
2005,2.590853,28,16,1,2.294749,2.220927,2.550535,0.296104,0.0738219999999998,-0.0403180000000001,4.131223,3.644268,0.486955,2004
2007,1.668587,34,16,1,1.522327,1.549104,1.738297,0.14626,-0.0267770000000001,0.0697099999999999,2.599916,2.514321,0.0855950000000001,2006
2008,1.416613,30,6,1,1.469852,1.376674,1.404871,-0.053239,0.093178,-0.0117419999999999,2.734705,2.772966,-0.0382609999999999,2007
2004,1.208164,28,12,1,1.093813,1.126312,1.29219,0.114351,-0.0324990000000001,0.0840259999999999,3.189312,2.946546,0.242766,2003
2004,1.562382,24,9,0,0.8426231,0.8646931,1.539682,0.7197589,-0.02207,-0.0226999999999999,1.842392,2.347852,-0.50546,2003
2007,1.780831,30,12,0,1.76551,1.718486,2.15061,0.0153210000000001,0.047024,0.369779,3.455708,2.870308,0.5854,2006
2004,1.611426,33,12,0,1.601443,1.256398,1.587837,0.00998300000000008,0.345045,-0.0235890000000001,3.890472,3.40964,0.480832,2003
2006,2.745414,30,16,0,2.089728,1.957859,2.760117,0.655686,0.131869,0.0147030000000004,4.363605,3.295537,1.068068,2005
2005,1.502064,36,12,0,1.699738,1.731144,1.491652,-0.197674,-0.031406,-0.0104120000000001,3.106531,4.353082,-1.246551,2004
2005,2.147241,35,12,1,2.25703,2.255728,2.228482,-0.109789,0.00130199999999991,0.0812409999999999,4.125812,3.017453,1.108359,2004
2004,1.639966,37,12,1,1.426851,1.582609,1.622588,0.213115,-0.155758,-0.0173780000000001,2.506806,2.733753,-0.226947,2003
2005,1.94374,32,9,0,2.174247,2.136128,1.895617,-0.230507,0.038119,-0.0481229999999999,3.251585,3.784184,-0.532599,2004
2005,2.439631,38,12,0,2.28515,2.303965,2.462026,0.154481,-0.018815,0.0223949999999999,3.106531,4.353082,-1.246551,2004
2006,2.150594,38,12,0,2.373681,2.374639,2.321918,-0.223087,-0.000958000000000236,0.171324,3.609164,4.016191,-0.407027,2005
2005,1.506414,38,9,1,1.660234,2.293032,1.434358,-0.15382,-0.632798,-0.0720559999999999,2.640805,2.890114,-0.249309,2004
2007,1.327161,43,9,1,1.371603,1.437324,1.457463,-0.0444419999999999,-0.0657210000000001,0.130302,3.09458,3.098244,-0.00366400000000011,2006
2004,1.685142,32,9,0,1.278288,1.293595,1.705614,0.406854,-0.015307,0.020472,3.499883,3.351842,0.148041,2003
2006,1.936575,35,9,0,2.097555,2.084672,1.937193,-0.16098,0.012883,0.000618000000000007,3.030539,3.151242,-0.120703,2005
2008,1.73065,39,9,0,1.517882,1.644569,1.745423,0.212768,-0.126687,0.0147729999999999,3.315914,3.568299,-0.252385,2007
2006,1.625137,36,9,1,1.392289,1.462648,1.455656,0.232848,-0.0703589999999998,-0.169481,2.734705,2.772966,-0.0382609999999999,2005
2007,1.582896,39,12,1,1.514401,1.549355,1.7283,0.068495,-0.0349539999999999,0.145404,3.668618,3.075024,0.593594,2006
2008,1.798107,47,16,0,1.247325,1.246273,1.825892,0.550782,0.00105200000000005,0.0277850000000002,1.90009,3.420511,-1.520421,2007
2007,1.444262,35,4,0,1.8101,1.620317,1.784722,-0.365838,0.189783,0.34046,2.7251,3.261773,-0.536673,2006
2005,1.876746,33,12,0,1.975239,1.998939,1.845824,-0.0984929999999999,-0.0237000000000001,-0.0309220000000001,3.106531,4.353082,-1.246551,2004
2008,1.491571,39,9,0,1.511997,1.476558,1.523792,-0.0204260000000001,0.035439,0.0322210000000001,1.716342,2.774893,-1.058551,2007
2008,2.580242,35,16,0,2.218031,2.123907,2.625757,0.362211,0.0941239999999999,0.045515,3.351672,3.080379,0.271293,2007
2008,1.419348,35,4,0,1.649511,1.675268,1.660493,-0.230163,-0.025757,0.241145,2.051452,3.000253,-0.948801,2007
2008,1.498599,34,9,0,1.701641,1.713382,1.565296,-0.203042,-0.011741,0.066697,3.000979,3.405056,-0.404077,2007
2006,2.133236,36,12,0,2.132076,2.1187,2.108536,0.00116000000000005,0.0133760000000001,-0.0247000000000002,3.048998,3.419946,-0.370948,2005
2005,1.507737,32,9,0,1.770517,1.794217,1.497009,-0.26278,-0.0237000000000001,-0.0107280000000001,3.106531,4.353082,-1.246551,2004
2005,1.403327,36,6,1,1.307407,1.286507,1.42425,0.09592,0.0208999999999999,0.020923,3.10691,3.16653,-0.0596199999999998,2004
2007,1.465855,35,9,1,1.361355,1.354428,1.428166,0.1045,0.00692700000000013,-0.0376889999999999,3.09458,3.098244,-0.00366400000000011,2006
2004,2.901235,38,16,1,2.747159,2.692327,2.879932,0.154076,0.0548319999999998,-0.0213029999999996,2.969224,3.652077,-0.682853,2003
2004,2.985008,38,16,1,2.784824,2.703613,2.963593,0.200184,0.0812110000000001,-0.0214150000000002,2.969224,3.652077,-0.682853,2003
2006,2.713054,46,16,1,3.023671,3.019252,2.688354,-0.310617,0.00441900000000039,-0.0247000000000002,1.965211,3.151242,-1.186031,2005
2007,1.569746,32,6,1,1.535739,1.499429,1.111232,0.0340070000000001,0.0363100000000001,-0.458514,3.09458,3.098244,-0.00366400000000011,2006
2004,1.750022,36,12,1,1.619404,1.644179,1.754578,0.130618,-0.024775,0.004556,3.590892,3.098718,0.492174,2003
2004,2.730105,40,16,0,2.973545,3.005049,2.732391,-0.24344,-0.031504,0.00228599999999979,3.652077,4.011289,-0.359212,2003
2006,2.338506,33,4,0,1.496398,1.500832,2.423868,0.842108,-0.00443400000000005,0.0853619999999999,3.939267,3.602236,0.337031,2005
2006,1.530191,35,6,0,1.530102,1.495709,1.524884,8.90000000000057e-05,0.0343930000000001,-0.00530700000000017,3.261107,3.812237,-0.55113,2005
2006,1.322911,37,6,1,1.33428,1.329356,1.327338,-0.011369,0.00492399999999993,0.00442699999999996,2.097844,2.467249,-0.369405,2005
2008,2.094609,42,12,0,1.497627,1.595871,2.21167,0.596982,-0.098244,0.117061,3.275631,3.329083,-0.0534519999999996,2007
2005,1.559157,33,9,0,1.770517,1.794217,1.527576,-0.21136,-0.0237000000000001,-0.0315809999999999,3.106531,4.353082,-1.246551,2004
2006,1.615242,33,6,0,1.192485,1.120252,1.758978,0.422757,0.072233,0.143736,3.058429,2.346864,0.711565,2005
2007,1.285931,35,4,0,1.16753,1.198486,1.536976,0.118401,-0.030956,0.251045,3.372362,2.387393,0.984969,2006
2007,1.687662,37,6,1,1.589621,1.649421,1.602574,0.098041,-0.0598000000000001,-0.0850880000000001,3.09458,3.098244,-0.00366400000000011,2006
2008,1.361297,33,4,0,1.642822,1.54058,1.427116,-0.281525,0.102242,0.0658190000000001,2.775137,3.16892,-0.393783,2007
2005,2.025353,35,9,0,2.049506,2.007892,2.003778,-0.0241530000000001,0.041614,-0.0215749999999999,3.106531,4.353082,-1.246551,2004
2008,1.310417,38,12,1,1.225611,1.250311,1.294104,0.0848059999999999,-0.0246999999999999,-0.016313,2.763832,2.633387,0.130445,2007
2006,1.103616,34,6,0,1.717134,1.379377,1.277767,-0.613518,0.337757,0.174151,3.386691,2.671724,0.714967,2005
2005,1.758464,29,9,0,1.770517,1.794217,1.769392,-0.0120529999999999,-0.0237000000000001,0.010928,3.106531,4.353082,-1.246551,2004
2008,1.693644,37,4,0,1.319507,1.195284,1.748164,0.374137,0.124223,0.0545200000000001,3.285575,3.608402,-0.322827,2007
2007,1.188533,37,12,1,1.079543,1.134373,1.191338,0.10899,-0.0548300000000002,0.00280499999999995,2.235328,2.495641,-0.260313,2006
2005,1.028856,33,9,0,1.185504,1.455213,0.998256,-0.156648,-0.269709,-0.0306,3.260803,3.171371,0.089432,2004
2004,1.45998,32,9,0,1.185086,1.040377,1.43728,0.274894,0.144709,-0.0227000000000002,2.70887,2.356028,0.352842,2003
2005,1.794014,37,6,0,1.591491,1.507038,1.847457,0.202523,0.0844529999999999,0.0534429999999999,3.777968,3.432189,0.345779,2004
2005,1.273978,35,9,0,1.762554,2.062904,1.269131,-0.488576,-0.30035,-0.00484700000000005,3.457671,3.402599,0.055072,2004
2008,2.891005,37,16,0,2.539855,2.328568,2.736063,0.35115,0.211287,-0.154942,4.06151,3.581397,0.480113,2007
2007,2.26676,37,12,0,2.166193,2.157721,2.243596,0.100567,0.00847199999999981,-0.023164,3.09458,3.345048,-0.250468,2006
2006,1.403721,40,12,1,1.408509,1.385485,1.418242,-0.00478800000000001,0.0230239999999999,0.014521,3.221571,2.406138,0.815433,2005
2007,1.102633,34,6,1,1.041741,1.047787,1.274859,0.0608919999999999,-0.006046,0.172226,2.527768,2.529357,-0.00158900000000006,2006
2007,1.38198,33,9,0,1.379804,1.384016,1.365203,0.00217599999999996,-0.00421199999999988,-0.016777,2.76106,3.568299,-0.807239,2006
2006,2.006707,34,9,0,1.63236,1.435523,1.54892,0.374347,0.196837,-0.457787,3.224861,3.412967,-0.188106,2005
2004,1.417356,30,6,0,1.118528,0.9230315,1.394656,0.298828,0.1954965,-0.0227000000000002,3.46184,3.209189,0.252651,2003
2008,1.368127,43,6,0,1.114284,1.115545,1.309738,0.253843,-0.00126099999999996,-0.058389,2.429992,3.323661,-0.893669,2007
2007,1.625881,40,6,0,1.338331,1.238002,1.538209,0.28755,0.100329,-0.087672,4.107248,2.609216,1.498032,2006
2005,1.934063,35,12,1,1.943007,1.980257,1.90741,-0.00894399999999984,-0.03725,-0.026653,3.150353,2.584533,0.56582,2004
2006,2.059128,38,12,0,2.218964,2.208564,2.054984,-0.159836,0.0104000000000002,-0.0041439999999997,4.444906,4.354588,0.0903179999999999,2005
2007,0.9824055,35,4,0,0.8781692,1.23587,1.006225,0.1042363,-0.3577008,0.0238194999999999,2.623154,2.615045,0.00810900000000014,2006
2004,1.878991,33,9,0,1.437335,1.484621,1.56573,0.441656,-0.0472859999999999,-0.313261,2.739861,2.550219,0.189642,2003
2006,1.57362,31,6,0,1.476682,1.461086,1.609545,0.096938,0.0155959999999999,0.035925,3.302316,3.041409,0.260907,2005
2006,1.593423,31,6,0,1.644506,1.290942,1.578479,-0.051083,0.353564,-0.0149440000000001,3.018321,2.013259,1.005062,2005
2005,1.874104,32,6,0,1.846056,1.869756,2.432282,0.0280480000000001,-0.0237000000000001,0.558178,3.679777,3.227639,0.452138,2004
2007,1.445625,41,6,1,1.411101,1.495437,1.605181,0.034524,-0.084336,0.159556,3.09458,3.098244,-0.00366400000000011,2006
2005,1.838807,31,6,0,1.354842,1.300424,1.885353,0.483965,0.0544180000000001,0.046546,4.289705,2.840323,1.449382,2004
2007,2.520339,34,12,0,2.356658,2.444035,2.523492,0.163681,-0.087377,0.00315300000000018,3.846975,3.963037,-0.116062,2006
2004,1.156916,30,9,0,0.8493308,0.8818308,1.183007,0.3075852,-0.0325,0.0260909999999999,3.784184,2.705236,1.078948,2003
2008,1.574488,34,6,0,1.514073,1.511381,1.614189,0.0604150000000001,0.00269199999999992,0.039701,3.356445,2.859693,0.496752,2007
2004,1.738338,34,9,0,2.054766,2.079922,1.750526,-0.316428,-0.025156,0.0121880000000001,3.260746,2.757071,0.503675,2003
2007,3.205704,46,16,0,2.808365,2.838965,3.19348,0.397339,-0.0306000000000002,-0.0122239999999998,4.086768,2.190439,1.896329,2006
2007,1.563809,36,12,1,1.464861,1.487042,1.624296,0.098948,-0.022181,0.060487,4.295781,3.380988,0.914793,2006
2005,2.057014,34,16,1,1.78201,1.802493,2.026287,0.275004,-0.0204829999999998,-0.0307270000000002,4.230834,4.416041,-0.185207,2004
2008,1.23397,36,9,1,1.263194,1.224611,1.253588,-0.0292239999999999,0.038583,0.0196179999999999,3.65206,3.460673,0.191387,2007
2005,1.641516,28,6,0,1.280008,1.153101,1.788732,0.361508,0.126907,0.147216,4.336591,4.339446,-0.00285499999999939,2004
2007,1.805184,35,12,1,1.634245,1.655068,1.5296,0.170939,-0.020823,-0.275584,3.09458,3.098244,-0.00366400000000011,2006
2005,1.62249,31,9,0,1.770517,1.794217,1.748623,-0.148027,-0.0237000000000001,0.126133,3.106531,4.353082,-1.246551,2004
2006,2.060229,32,16,0,1.559719,1.58242,2.412909,0.50051,-0.0227009999999999,0.35268,4.299026,3.167896,1.13113,2005
2004,1.179558,46,6,1,1.041515,1.049821,1.769757,0.138043,-0.00830599999999992,0.590199,2.541447,1.716342,0.825105,2003
2004,3.496797,33,16,0,3.006294,2.741999,3.474097,0.490503,0.264295,-0.0226999999999999,4.356491,4.150408,0.206083,2003
2004,1.678026,33,12,0,1.132387,1.128993,1.033642,0.545639,0.00339400000000012,-0.644384,4.060524,2.659828,1.400696,2003
2006,1.643112,34,9,0,1.635718,1.506953,1.700415,0.0073939999999999,0.128765,0.0573030000000001,3.636216,3.258025,0.378191,2005
2006,2.420522,35,16,0,2.200664,2.232315,2.41208,0.219858,-0.0316509999999997,-0.00844200000000006,3.568199,3.312624,0.255575,2005
2007,1.3348,34,9,0,1.395442,1.441701,1.318291,-0.0606420000000001,-0.0462589999999998,-0.0165089999999999,3.346934,3.430275,-0.0833409999999999,2006
2007,2.791854,33,16,0,2.525232,2.387659,2.764589,0.266622,0.137573,-0.0272649999999999,3.854385,3.25203,0.602355,2006
2008,1.082644,34,6,1,1.100678,1.095584,1.145132,-0.0180340000000001,0.00509400000000015,0.0624880000000001,3.596938,2.529059,1.067879,2007
2008,1.425145,36,12,0,1.367737,1.368806,1.629686,0.0574080000000001,-0.00106899999999999,0.204541,4.353082,3.568299,0.784783,2007
2008,0.9367827,37,12,0,1.437989,1.447206,0.9647776,-0.5012063,-0.00921700000000003,0.0279949,2.820412,2.738224,0.0821879999999999,2007
2008,2.875053,36,12,0,2.54356,2.54818,2.545998,0.331493,-0.00462000000000007,-0.329055,4.474492,3.524695,0.949797,2007
2005,1.559157,40,9,0,1.770517,1.794217,1.528884,-0.21136,-0.0237000000000001,-0.030273,3.106531,4.353082,-1.246551,2004
2006,1.123419,55,4,1,1.178635,1.201335,1.209945,-0.0552160000000002,-0.0226999999999999,0.0865260000000001,3.131539,2.774687,0.356852,2005
2005,1.9078,31,9,0,1.556538,1.259668,2.259525,0.351262,0.29687,0.351725,3.438198,3.012646,0.425552,2004
2008,2.976523,43,16,0,2.773767,2.663449,3.643269,0.202756,0.110318,0.666746,4.047416,3.517875,0.529541,2007
2005,1.671002,33,12,0,2.122571,2.037819,1.67798,-0.451569,0.0847520000000004,0.00697799999999993,4.131223,4.490547,-0.359324,2004
2006,1.587199,45,4,0,1.244802,1.267501,1.591411,0.342397,-0.022699,0.00421199999999988,3.732661,2.986788,0.745873,2005
2004,1.743035,31,12,1,2.726198,2.086232,1.588472,-0.983163,0.639966,-0.154563,3.055302,2.813731,0.241571,2003
2008,1.237303,36,12,0,1.418242,1.428594,1.258663,-0.180939,-0.0103519999999999,0.02136,2.646302,2.749192,-0.10289,2007
2008,1.902543,33,16,1,2.319028,1.826091,1.754464,-0.416485,0.492937,-0.148079,2.103583,2.485095,-0.381512,2007
2004,1.705939,31,9,0,1.356786,1.389286,1.539682,0.349153,-0.0325,-0.166257,3.430275,2.65296,0.777315,2003
2007,2.017236,38,12,0,2.043624,2.071486,2.008828,-0.0263879999999999,-0.0278620000000003,-0.00840800000000019,3.704946,3.050469,0.654477,2006
2007,2.112813,34,12,0,2.10093,2.211126,2.104138,0.0118830000000001,-0.110196,-0.00867500000000021,3.733745,2.739861,0.993884,2006
2006,1.204366,31,12,0,1.44284,1.254837,1.785967,-0.238474,0.188003,0.581601,3.01168,3.09458,-0.0829,2005
2004,1.519446,38,9,1,1.264001,1.291595,1.521952,0.255445,-0.0275940000000001,0.0025059999999999,2.529357,2.527768,0.00158900000000006,2003
2008,2.953332,43,16,0,2.920418,2.925258,2.92129,0.0329139999999999,-0.00483999999999973,-0.0320420000000001,3.807272,3.208909,0.598363,2007
2005,2.140553,35,12,1,1.873072,1.869823,2.164834,0.267481,0.00324900000000006,0.0242809999999998,3.030539,4.416874,-1.386335,2004
2007,1.973314,33,9,0,1.56357,1.579543,1.758392,0.409744,-0.015973,-0.214922,3.469284,3.139793,0.329491,2006
2008,1.412615,32,6,1,1.296005,1.338331,1.285446,0.11661,-0.0423259999999999,-0.127169,3.95194,2.371989,1.579951,2007
2007,1.866464,39,12,1,1.663572,1.645353,1.936257,0.202892,0.018219,0.069793,2.708177,3.278789,-0.570612,2006
2004,1.38006,36,9,0,1.40376,1.433857,1.45267,-0.0236999999999998,-0.030097,0.0726099999999998,3.476741,2.997252,0.479489,2003
2005,1.004108,31,9,1,1.396302,1.289716,0.998256,-0.392194,0.106586,-0.00585199999999997,2.553817,3.503924,-0.950107,2004
2006,1.800354,32,9,0,2.48916,2.40327,2.01736,-0.688806,0.08589,0.217006,4.120108,3.903986,0.216122,2005
2004,1.182584,37,9,0,1.605191,1.908262,1.836383,-0.422607,-0.303071,0.653799,3.385446,3.133287,0.252159,2003
2005,1.657384,31,12,1,1.473954,1.469684,1.645389,0.18343,0.00427,-0.011995,3.138192,3.042802,0.0953900000000001,2004
2008,1.546793,41,6,1,1.623281,1.538409,1.58011,-0.0764879999999999,0.0848720000000001,0.0333169999999998,3.65206,3.460673,0.191387,2007
2006,1.729555,36,12,0,1.353754,1.345783,1.716551,0.375801,0.00797099999999995,-0.013004,2.415271,2.805509,-0.390238,2005
2008,1.734391,34,12,1,1.853177,1.751368,1.76738,-0.118786,0.101809,0.0329889999999999,3.65206,3.460673,0.191387,2007
2007,1.106711,33,4,1,1.158105,1.135656,1.119104,-0.0513939999999999,0.0224489999999999,0.0123930000000001,2.640805,2.890114,-0.249309,2006
2005,2.38698,34,12,0,2.115,2.1387,2.35638,0.27198,-0.0236999999999998,-0.0305999999999997,1.965211,4.353082,-2.387871,2004
2007,2.755039,32,16,0,2.561141,2.566888,2.8151,0.193898,-0.00574699999999995,0.0600610000000001,3.475733,3.494779,-0.0190459999999999,2006
2005,1.394116,36,16,0,1.543886,0.8437442,1.362899,-0.14977,0.7001418,-0.0312169999999998,3.941519,2.526209,1.41531,2004
2005,1.559157,33,12,0,1.770517,1.794217,1.527576,-0.21136,-0.0237000000000001,-0.0315809999999999,3.106531,4.353082,-1.246551,2004
2007,1.834606,36,12,1,1.933775,1.959367,1.873096,-0.0991690000000001,-0.0255920000000001,0.0384900000000001,4.050905,3.535434,0.515471,2006
2006,2.3677,32,16,1,2.223208,2.131879,2.452458,0.144492,0.091329,0.0847579999999999,3.494779,4.416874,-0.922095,2005
2004,2.131612,29,12,1,1.999727,2.015034,2.18811,0.131885,-0.015307,0.0564979999999999,4.219241,3.159748,1.059493,2003
2007,1.745931,36,12,1,1.642605,1.692736,1.662063,0.103326,-0.0501309999999999,-0.0838679999999998,3.09458,3.098244,-0.00366400000000011,2006
2006,2.017012,34,12,0,1.258185,1.255838,2.021074,0.758827,0.0023470000000001,0.00406200000000023,3.192536,2.02444,1.168096,2005
2005,1.082923,33,12,0,1.959215,2.365235,1.052323,-0.876292,-0.40602,-0.0306000000000002,2.836358,2.339518,0.49684,2004
2004,1.637862,32,12,1,1.44027,1.46829,1.670923,0.197592,-0.0280200000000002,0.033061,3.140392,2.489589,0.650803,2003
2005,2.373303,34,16,0,1.903889,1.728738,2.299941,0.469414,0.175151,-0.0733619999999999,3.784249,2.599916,1.184333,2004
2005,1.910187,29,6,0,1.571275,1.594975,1.457086,0.338912,-0.0237000000000001,-0.453101,3.303954,3.306086,-0.00213200000000002,2004
2006,1.608598,32,6,1,1.700814,1.650063,1.721823,-0.0922160000000001,0.050751,0.113225,2.575965,2.640805,-0.0648399999999998,2005
2005,2.424275,31,16,0,1.760467,1.735099,2.310199,0.663808,0.0253680000000001,-0.114076,3.182138,2.419977,0.762161,2004
2008,1.119104,37,12,1,1.336017,1.360717,1.184134,-0.216913,-0.0246999999999999,0.0650299999999999,2.898543,2.715401,0.183142,2007
2007,1.510249,42,9,0,1.697989,1.396581,1.494814,-0.18774,0.301408,-0.0154349999999999,2.832746,3.12415,-0.291404,2006
2005,1.91345,33,12,0,1.921879,1.950703,1.91928,-0.0084289999999998,-0.0288240000000002,0.00583,3.145654,2.687124,0.45853,2004
2006,1.378213,35,12,1,1.227306,1.250006,1.396643,0.150907,-0.0226999999999999,0.0184300000000002,2.833475,2.773233,0.0602420000000001,2005
2008,1.396906,40,6,0,1.293893,1.30353,1.446579,0.103013,-0.00963700000000012,0.0496730000000001,2.773717,2.549499,0.224218,2007
2007,1.771063,36,9,0,1.506411,1.468286,1.749858,0.264652,0.038125,-0.0212050000000001,3.367715,3.052976,0.314739,2006
2006,0.8422518,54,4,1,0.8457341,0.8438483,0.973556,-0.00348230000000005,0.00188580000000005,0.1313042,1.957903,2.033305,-0.075402,2005
2005,0.8545026,35,6,1,1.368945,1.331434,0.8525878,-0.5144424,0.0375110000000001,-0.00191479999999999,2.807695,4.416874,-1.609179,2004
2006,1.900222,37,12,0,1.617799,1.63442,1.918758,0.282423,-0.016621,0.0185359999999999,1.951644,3.158565,-1.206921,2005
2004,1.551617,30,9,1,1.550807,1.545374,1.503581,0.000809999999999977,0.00543300000000002,-0.048036,2.739861,2.550219,0.189642,2003
2007,1.484382,30,4,0,1.181734,1.185302,1.966402,0.302648,-0.00356800000000002,0.48202,3.681599,3.146822,0.534777,2006
2005,1.537601,28,6,0,1.470719,1.50183,1.465408,0.0668819999999999,-0.0311109999999999,-0.072193,3.287339,2.615881,0.671458,2004
2008,1.415929,48,16,0,1.420796,1.473693,1.531476,-0.00486699999999995,-0.052897,0.115547,1.980589,2.984976,-1.004387,2007
2008,2.032394,41,9,0,1.523602,1.548302,2.069722,0.508792,-0.0247000000000002,0.037328,3.407361,1.788209,1.619152,2007
2006,1.518206,37,9,0,1.346097,1.458546,1.527971,0.172109,-0.112449,0.00976500000000002,3.710692,2.774893,0.935799,2005
2005,1.881286,32,12,0,1.88639,1.793626,1.874645,-0.005104,0.0927640000000001,-0.00664100000000012,3.106531,4.353082,-1.246551,2004
2004,1.444566,34,12,1,1.579138,1.70798,1.331016,-0.134572,-0.128842,-0.11355,3.272181,2.819165,0.453016,2003
2007,1.300459,36,12,0,0.8250594,0.8285417,1.350454,0.4753996,-0.00348230000000005,0.049995,3.270977,2.73495,0.536027,2006
2008,1.41796,32,6,0,1.497627,1.243379,1.455287,-0.0796669999999999,0.254248,0.0373269999999999,3.826789,3.386691,0.440098,2007
2005,1.507737,32,9,0,1.770517,1.794217,1.47518,-0.26278,-0.0237000000000001,-0.0325570000000002,3.106531,4.353082,-1.246551,2004
2007,1.281041,33,6,0,1.365981,1.396581,1.258703,-0.0849399999999998,-0.0306000000000002,-0.0223380000000002,2.991775,2.637069,0.354706,2006
2005,1.302388,28,6,0,1.303887,1.345961,1.274949,-0.00149899999999992,-0.0420739999999999,-0.027439,2.885331,3.16892,-0.283589,2004
2008,1.278607,34,9,1,1.356548,1.348913,0.9911068,-0.077941,0.00763500000000006,-0.2875002,1.951644,3.864207,-1.912563,2007
2008,1.148627,34,9,0,1.345886,1.350477,1.23652,-0.197259,-0.00459100000000001,0.087893,2.994882,2.824094,0.170788,2007
2008,0.9835141,38,9,0,1.551417,1.568608,0.9852836,-0.5679029,-0.017191,0.00176950000000009,2.973241,3.10444,-0.131199,2007
2005,1.773663,37,9,0,1.205726,1.257596,1.694731,0.567937,-0.0518699999999999,-0.078932,3.731539,3.30598,0.425559,2004
2006,1.447206,31,9,0,1.320895,1.304388,1.430981,0.126311,0.0165069999999998,-0.0162249999999999,2.70887,2.411798,0.297072,2005
2007,1.489212,32,12,1,1.408508,1.467788,1.363381,0.0807039999999999,-0.05928,-0.125831,3.09458,3.345048,-0.250468,2006
2004,2.205813,37,12,0,2.142597,2.175097,2.183113,0.0632160000000002,-0.0325000000000002,-0.0226999999999999,3.691976,3.033568,0.658408,2003
2006,1.431566,33,9,1,1.627135,1.290211,1.590115,-0.195569,0.336924,0.158549,2.739861,3.09458,-0.354719,2005
2008,1.601438,33,12,0,1.12389,1.452864,1.59781,0.477548,-0.328974,-0.00362799999999996,3.031256,2.808304,0.222952,2007
2007,1.426752,40,4,1,1.561041,1.570327,1.427635,-0.134289,-0.00928600000000013,0.000882999999999967,2.527768,2.529357,-0.00158900000000006,2006
2004,1.535139,44,9,0,1.54261,1.574578,1.548807,-0.00747100000000001,-0.031968,0.013668,3.186792,2.739861,0.446931,2003
2005,1.633718,31,12,0,1.825675,1.843395,1.686949,-0.191957,-0.01772,0.053231,3.106531,4.353082,-1.246551,2004
2005,1.841188,33,9,0,1.436213,1.429942,1.762086,0.404975,0.00627099999999992,-0.079102,3.38845,3.042802,0.345648,2004
2008,1.42901,32,6,1,1.285931,1.317114,1.554793,0.143079,-0.031183,0.125783,3.436035,2.987545,0.44849,2007
2007,1.559829,36,9,1,1.378445,1.33945,1.661502,0.181384,0.0389949999999999,0.101673,3.09458,3.098244,-0.00366400000000011,2006
2006,1.407541,32,9,0,1.331006,1.353706,1.127512,0.076535,-0.0227000000000002,-0.280029,3.273978,3.627465,-0.353487,2005
2006,1.495659,31,16,1,1.114014,1.137862,1.759991,0.381645,-0.0238479999999999,0.264332,3.732373,3.939843,-0.20747,2005
2005,1.643921,29,6,0,1.167184,1.143496,1.918981,0.476737,0.0236879999999999,0.27506,3.384511,2.91747,0.467041,2004
2007,1.311614,31,9,0,1.094203,1.311962,1.397986,0.217411,-0.217759,0.0863719999999999,3.813423,2.449258,1.364165,2006
2007,1.557632,35,12,1,1.364056,1.471478,1.590979,0.193576,-0.107422,0.033347,3.227422,3.274141,-0.0467190000000004,2006
2008,1.916249,39,12,0,1.783004,1.788732,1.913199,0.133245,-0.00572799999999996,-0.00305,3.13469,2.686511,0.448179,2007
2005,1.586082,31,9,0,1.828652,1.85828,1.577363,-0.24257,-0.029628,-0.00871899999999992,3.106531,4.353082,-1.246551,2004
2006,1.528543,39,9,1,1.66188,1.520008,1.557639,-0.133337,0.141872,0.029096,3.09458,3.098244,-0.00366400000000011,2005
